200
field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
id,form_2a_eligibility_checklist,,text,"Study ID",,,,,,,,,,,,,
enrolling_site,form_2a_eligibility_checklist,,dropdown,"Select Hospital System","1, JHHS | 2, CGMH",,,,,,,y,,,,,
age_jh,form_2a_eligibility_checklist,,radio,"Is the subject 18 years old or older?","0, No (Stop, DNQ) | 1, Yes",,,,,,"[enrolling_site] = '1'",,,,,,
age_ti,form_2a_eligibility_checklist,,radio,"Is the subject 20 years old or older?","0, No (Stop, DNQ) | 1, Yes",,,,,,"[enrolling_site] = '2'",,,,,,
surveil_group,form_2a_eligibility_checklist,,radio,"What active surveillance group does the subject fall into?","1, Influenza indeterminate - symptomatic | 2, Influenza indeterminate - asymptomatic | 3, Influenza positive",,,,,,"[age_jh] = '1' or [age_ti] = '1'",,,,,,
iis_docfever,form_2a_eligibility_checklist,"In the past 7 days, has the subject experienced any fever?",radio,"Documented fever?","0, No | 1, Yes",,,,,,"[surveil_group] = '1'",,,,iis,,
iis_reportfever,form_2a_eligibility_checklist,,radio,"Report of fever?","0, No | 1, Yes",,,,,,"[surveil_group] = '1'",,,,iis,,
ip_newcough,form_2a_eligibility_checklist,"In the past 7 days, has the subject experienced any of the following symptoms?",radio,"New or increased cough?","0, No | 1, Yes",,,,,,"[surveil_group] = '1'",,,,ip,,
ip_headache,form_2a_eligibility_checklist,,radio,Headache?,"0, No | 1, Yes",,,,,,"[surveil_group] = '1'",,,,ip,,
ip_sorethroat,form_2a_eligibility_checklist,,radio,"Sore throat?","0, No | 1, Yes",,,,,,"[surveil_group] = '1'",,,,ip,,
iia_docfever,form_2a_eligibility_checklist,"In the past 7 days, has the subject experienced any of the following symptoms?",radio,"Documented fever?","0, No | 1, Yes",,,,,,"[surveil_group] = '2'",,,,iia,,
iia_reportfever,form_2a_eligibility_checklist,,radio,"Report of fever?","0, No | 1, Yes",,,,,,"[surveil_group] = '2'",,,,iia,,
iia_newcough,form_2a_eligibility_checklist,,radio,"New or increased cough?","0, No | 1, Yes",,,,,,"[surveil_group] = '2'",,,,iia,,
iia_headache,form_2a_eligibility_checklist,,radio,Headache?,"0, No | 1, Yes",,,,,,"[surveil_group] = '2'",,,,iia,,
